,key,value
3803,很久久,1
3804,百度空间,1
3805,直觉,1
3806,空间,18
3807,背景音乐,7
3808,下定,3
3809,决心,4
3810,追回,2
3811,大本事,1
3812,明年,7
3813,温牛,1
3814,鱼刺,1
3815,卡,4
3816,喉咙,2
3817,鱼,9
3818,满口,1
3819,蛀牙,1
3820,嗜,1
3821,命,4
3822,弃,3
3823,千里之外,1
3824,走遍,1
3825,千山万水,2
3826,道理,4
3827,onetwoone,1
3828,到底是什么,2
3829,动作,4
3830,课堂,3
3831,衣袖,2
3832,穿出来然,1
3833,后手,1
3834,托腮,1
3835,手心,3
3836,耳麦塞,1
3837,假装,13
3838,听课,3
3839,日子,37
3840,不留,1
3841,痕迹,4
3842,奶奶,27
3843,推荐,40
3844,moreandmore,1
3845,强制,1
3846,摸,3
3847,网瘾,1
3848,alwaysonline,1
3849,真好,11
3850,社交,2
3851,工具,2
3852,扣扣,4
3853,青春走,1
3854,一去,6
3855,返,1
3856,绝,5
3857,笃定,1
3858,我可以,9
3859,猥琐,4
3860,异想天开,1
3861,欲拒,1
3862,迎,1
3863,性,1
3864,清晨六点,1
3865,吻,8
3866,莱斯特,1
3867,小姐,5
3868,触碰,1
3869,缩回,2
3870,矜持,3
3871,辜负,3
3872,深情,23
3873,含义,5
3874,好多年前,1
3875,默默无名,1
3876,金子,2
3877,默默听,1
3878,GEM,3
3879,一遍一遍,4
3880,KTV,20
3881,几首,9
3882,几乎,16
3883,下雨天,5
3884,AINY,1
3885,AlthoughINeedYou,1
3886,清醒,5
3887,撇,1
3888,妈蛋网易,1
3889,一件,19
3890,1分钟,1
3891,二胡,4
3892,胖子,5
3893,不做声一开口便,1
3894,惊艳,10
3895,唯美,3
3896,风歌曲绾青丝挽情思任风雨飘摇人生不惧浮生一梦醉眼看海如波心如皓月雪如天赐你自妖娆,1
3897,自伴,1
3898,响起,11
3899,不稳,4
3900,三遍君,1
3901,不见,16
3902,彻底,5
3903,崩溃,5
3904,目瞪口呆,3
3905,jpg,2
3906,逛,4
3907,酸奶,4
3908,半天,5
3909,选,19
3910,便宜,6
3911,现任,2
3912,结账,4
3913,角色,11
3914,设定,3
3915,纵览,1
3916,痴情男,2
3917,伤心心碎,1
3918,张情圣,1
3919,散,15
3920,终老了,1
3921,宝马,5
3922,前男友,6
3923,降下,1
3924,车窗,5
3925,爸,30
3926,励志,14
3927,自行车,4
3928,换,43
3929,电动车,1
3930,兰博基尼,2
3931,雪夜,3
3932,单膝,1
3933,跪地,1
3934,碰着,1
3935,红玫瑰,3
3936,左手,5
3937,戒指盒,1
3938,说别闹,1
3939,笑着,18
3940,点点头,2
3941,周围,11
3942,雷动,1
3943,微,2
3944,驼,1
3945,背影,8
3946,婚,7
3947,下一年,1
3948,结婚纪念日,1
3949,多年,19
3950,关注,16
3951,每一天,7
3952,喜怒哀乐,6
3953,小心翼翼,7
3954,分享,19
3955,不听,9
3956,这支,1
3957,原以为,3
3958,独唱,2
3959,拿起,4
3960,麦无缝,1
3961,衔接,1
3962,女声,17
3963,鼓起勇气表白,1
3964,发现爱期待爱表达爱,1
3965,偷看,3
3966,激发,1
3967,灵感,4
3968,JJ,20
3969,合唱,15
3970,金莎声,1
3971,很久以前,2
3972,康熙来了,2
3973,小S,1
3974,新人,4
3975,香港,4
3976,唱作,1
3977,人和,16
3978,堪称,3
3979,说明,7
3980,炫歌,1
3981,听完,24
3982,串烧,1
3983,耳,3
3984,完整版,3
3985,对唱,6
3986,不同于,1
3987,以往,2
3988,更加,12
3989,浓郁,1
3990,目测,3
3991,大爱,2
3992,雖然,1
3993,鄧紫棋,1
3994,聽過,1
3995,耍,6
3996,大牌,6
3997,不過,1
3998,剛剛,2
3999,還是,1
4000,支持,22
4001,鄧,1
4002,評論,1
4003,贊,1
4004,因為,1
4005,覺得,3
4006,至少,11
4007,螢幕,1
4008,個挺認真,1
4009,禮貌,1
4010,現在,2
4011,新聞來說,1
4012,沒有,1
4013,稍微,6
4014,加工,1
4015,說,1
4016,那個,2
4017,來,2
4018,認定,1
4019,否定,5
4020,點,1
4021,還有,1
4022,這首,1
4023,石猴,3
4024,榴莲,3
4025,为主,3
4026,轻易,13
4027,这样的人,3
4028,苦头,1
4029,咬咬牙,2
4030,苦会,1
4031,淡,14
4032,挚爱,2
4033,疼痛,2
4034,洗涤,1
4035,多年后,2
4036,鞋,4
4037,刚,67
4038,蹭,5
4039,灰,4
4040,蹲,4
4041,擦,9
4042,一脚,3
4043,低头,9
4044,大抵,5
4045,物,9
4046,眉,3
4047,掉眼泪,2
4048,杀出,2
4049,猴王,1
4050,天庭,1
4051,地府,1
4052,无人能辨,1
4053,真假,3
4054,观音,2
4055,建议,6
4056,猴,2
4057,皆,10
4058,迷茫,8
4059,悟空,1
4060,六耳选,1
4061,桃子,1
4062,贝贝丫,1
4063,三关,2
4064,改,16
4065,喔,2
4066,哟慧丢暖帮哈涩凉诺郎关安喔,1
4067,一心,1
4068,几述,1
4069,翁博,1
4070,窜,2
4071,浪费,13
4072,这分钟,1
4073,Waxinkia,1
4074,beimeya,1
4075,zao,1
4076,sanguan,1
4077,Wagai,1
4078,wasoyiyo,1
4079,huidiong,1
4080,wan,1
4081,Bang,1
4082,hase,1
4083,liang,1
4084,molang,1
4085,guan,1
4086,Wayi,1
4087,xim,1
4088,jixiuong,1
4089,becuan,1
4090,闽南歌仔戏,1
4091,唱词,1
4092,耳中,2
4093,闽南语,3
4094,听起来,10
4095,薛平贵,3
4096,不得志,1
4097,王宝钏,1
4098,际遇,1
4099,宝钏,3
4100,执意,1
4101,嫁,11
4102,西凉国,1
4103,代战,1
4104,发兵,1
4105,中原,1
4106,平贵,2
4107,从军,1
4108,登上,3
4109,王位,2
4110,苦守,1
4111,要害,1
4112,义兄,1
4113,送来,2
4114,一封,4
4115,遂,3
4116,单骑,1
4117,直奔,2
4118,长安城,1
4119,王宝钏寒窑,1
4120,相会,3
4121,方言好土,1
4122,公选课,1
4123,超赞,3
4124,新世界,2
4125,大门,4
4126,不对总,1
4127,方言,1
4128,尤其,10
4129,粤语,8
4130,念,14
4131,古诗词,1
4132,同学们,12
4133,小心,9
4134,附近,4
4135,白桦林,2
4136,常,12
4137,消失,16
4138,前苏联,1
4139,男孩子,15
4140,主打,1
4141,上映,3
4142,电影院,8
4143,整,16
4144,部,3
4145,真羡慕,2
4146,丰富,6
4147,动不动,1
4148,20年,4
4149,暧昧,10
4150,对象,10
4151,班级,3
4152,一群人,3
4153,一场,37
4154,考试,10
4155,每个星期,2
4156,轰轰烈烈,4
4157,搬,4
4158,挪,1
4159,书本,5
4160,计算,1
4161,心上,7
4162,上课,14
4163,过不去,3
4164,随心,1
4165,而至,3
4166,相伴,4
4167,人生似一场聊斋艳遇走进去的时候看见周遭花开成海灯下美人如玉一觉醒来,1
4168,处,8
4169,山野,1
4170,孤坟,1
4171,萤火虫,1
4172,20余天,1
4173,寿命,1
4174,夏末,1
4175,初秋,1
4176,残骸,1
4177,葬于,1
4178,枯草,1
4179,恋慕,1
4180,美满,2
4181,代价,5
4182,粉身,1
4183,碎骨,1
4184,万劫不复,2
4185,通篇,1
4186,缠绵,3
4187,情事,1
4188,空灵,4
4189,包容,5
4190,崔豹古今注鱼虫萤火腐草为之食蚊蚋,1
4191,莹莹辉光生于腐草不比月光之浩瀚燃于盛夏之末灭于秋雨流霜弗如月球之无穷生之须臾何尝哀纵天地一蜉蝣沧海一粟粒吾亦以心为灯以情为翼凭生死荧惑与皓月争辉,1
4192,凉鞋,1
4193,薄纱,1
4194,金龙鱼,1
4195,首饰,1
4196,盔甲,2
4197,香奈儿,1
4198,帽子,2
4199,乐视,2
4200,硬广,1
4201,阿里芃芃九王,1
4202,快递单,1
4203,赵王,1
4204,快递,2
4205,底线,5
4206,APP,2
4207,会员,2
4208,下降,2
4209,头,19
4210,剧组,3
4211,全花,1
4212,吹风机,1
4213,第一集,1
4214,雷,6
4215,第二集,1
4216,好玩,4
4217,特喵,1
4218,原来太子妃升职记,1
4219,崔子格,2
4220,颇多,1
4221,很重要,3
4222,张天爱,1
4223,跑龙,1
4224,套,4
4225,盛一伦,1
4226,转型,1
4227,老婆,34
4228,这一切,3
4229,到来,1
4230,辛苦,6
4231,薄发,1
4232,厚积,1
4233,民间,2
4234,流行歌,3
4235,浮躁,9
4236,空洞无物,1
4237,无病呻吟,6
4238,原创,13
4239,优美,3
4240,乐曲,1
4241,配合,2
4242,杂质,1
4243,清澈,6
4244,合成音,1
4245,心灵,5
4246,涤荡,1
4247,强强,6
4248,COP,3
4249,未,19
4250,发表,3
4251,B站,3
4252,新曲世末积雨云,1
4253,后续,1
4254,曲,25
4255,福利,1
4256,双,4
4257,声道,1
4258,朗朗上口,3
4259,出品,2
4260,良,1
4261,霉湿,1
4262,天依,4
4263,脑补,4
4264,合适,7
4265,剧情顺序世末歌者末日积雨云同归世界线,1
4266,乐正公司,1
4267,破产,3
4268,阿绫,1
4269,街上,3
4270,卖唱,1
4271,办,12
4272,这么远,2
4273,没事儿,1
4274,想我,1
4275,那头,5
4276,捂,2
4277,出声,1
4278,角,1
4279,湿,4
4280,见面,14
4281,2008年,2
4282,事业,7
4283,保重,1
4284,二十岁,4
4285,驾照,1
4286,庆祝,1
4287,摇头,1
4288,其他人,8
4289,饭店,4
4290,梧桐树,2
4291,岔路口,1
4292,商场,4
4293,当天,2
4294,顺其自然,1
4295,跨国,1
4296,高高,1
4297,攥,4
4298,发卡,1
4299,家伙,1
4300,拯救,5
4301,乐坛,15
4302,敬佩,2
4303,背后,5
4304,作者们,1
4305,伟大,8
4306,存在,17
4307,才华,12
4308,天依酱,1
4309,离不开,6
4310,艰辛,5
4311,调教,1
4312,无憾,2
4313,在路上,10
4314,老大爷,1
4315,唱戏机,1
4316,霜雪,3
4317,千年,5
4318,牵丝戏权御天下,1
4319,真人,2
4320,三千年,1
4321,夜行灯系列后续曲双面,1
4322,乐府,1
4323,参赛,1
4324,发布,7
4325,很赞,4
4326,云音乐,12
4327,ohboy,1
4328,whathaveudone,1
4329,叼,4
4330,无敌,4
4331,老娘,6
4332,嘴巴,4
4333,恶毒,2
4334,正面,1
4335,怼,2
4336,营销,1
4337,网络,16
4338,获得,6
4339,掌声,1
4340,多美好,1
4341,想要,44
4342,降,4
4343,格局,2
4344,满分,1
4345,跪下,1
4346,YoListen,1
4347,25岁,7
4348,朝气,1
4349,圣人,1
4350,并不,16
4351,剧本,3
4352,小叛逆人生,1
4353,短,8
4354,ps,2
4355,键盘,5
4356,侠,2
4357,对号,2
4358,入座,2
4359,18岁,10
4360,变得,23
4361,不变,9
4362,炮仗,1
4363,黑文,1
4364,裹挟,1
4365,最崇拜,1
4366,毫不,2
4367,避,2
4368,忌,1
4369,词汇,2
4370,港媒,1
4371,宇宙,8
4372,渣,3
4373,媒,1
4374,窥探,1
4375,私生活,1
4376,看图,1
4377,写作,3
4378,胡乱,1
4379,抹黑,1
4380,拍拍拍,1
4381,鸡,1
4382,般,13
4383,叽叽,2
4384,喳喳,3
4385,营养,2
4386,煽风点火,1
4387,口水,10
4388,帮凶,1
4389,坦然,3
4390,无所畏惧,2
4391,无惧,2
4392,眼光,3
4393,同化,1
4394,最珍贵,3
4395,独一无二,3
4396,图标,1
4397,图书馆,16
4398,有道,1
4399,查,6
4400,单词,2
4401,情缘qingyuan青,1
4402,玉案,1
4403,也許,1
4404,旅遊,1
4405,手工,1
4406,飲茶,1
4407,仰望,3
4408,聽歌,1
4409,做菜,1
4410,自我陶醉,1
4411,一番,5
4412,作畫,1
4413,寫,1
4414,冬夏裡衍冶,1
4415,沉降,1
4416,心事,2
4417,每個,1
4418,不僅,1
4419,僅,1
4420,樣子,1
4421,才會,1
4422,網易雲,1
4423,聽到,1
4424,悲,2
4425,霜冷,1
4426,青玉案元夕朝代,1
4427,宋代,2
4428,作者,12
4429,辛弃疾东风夜放花千树更吹落星如雨宝马雕车香满路凤箫声动玉壶光转一夜鱼龙舞蛾儿雪柳黄金缕笑语盈盈暗香去众里寻他千百度,1
4430,蓦然,2
4431,回首,11
4432,灯火阑珊处,3
4433,第二首,3
4434,悲惨,1
4435,甩,7
4436,问题,15
4437,当代,3
4438,人大,2
4439,缺乏,5
4440,前几天,4
4441,苏武传,1
4442,一文段,1
4443,删减,1
4444,苏武,1
4445,听闻,1
4446,汉武帝,1
4447,驾崩,1
4448,悲痛欲绝连日,1
4449,呕血,1
4450,冷不防,1
4451,现代人,3
4452,古人,1
4453,赤诚,2
4454,从前,17
4455,仰慕,2
4456,多次,3
4457,十,2
4458,觉,10
4459,心寒,1
4460,你当为虫我辈当为龙,1
4461,杯,7
4462,黄河,2
4463,水来生,1
4464,天朝人,2
4465,有生,6
4466,摆脱,1
4467,风邪之困,1
4468,拔除,1
4469,附骨,1
4470,蛆,1
4471,残肢,1
4472,续愿,1
4473,醒魄,1
4474,魂愿,1
4475,有生之年,4
4476,能见,1
4477,重塑,1
4478,辉煌,2
4479,君临,2
4480,王耀,1
4481,千秋万代,1
4482,眼下,1
4483,麒麟,2
4484,不行,17
4485,生而为,1
4486,龙,2
4487,一朝,1
4488,折断,3
4489,掌牙,1
4490,拔裂,1
4491,鳞片,1
4492,瞎目,1
4493,断爪,1
4494,浅滩龙,1
4495,龙王耀,1
4496,日,4
4497,你叫流萤我便赠你漫天流萤,1
4498,孟婆汤,3
4499,不苦,1
4500,话说,5
4501,嘴,2
4502,中送,1
4503,一阵,8
4504,眩晕,1
4505,过后,9
4506,TT,2
4507,4G,2
4508,包,8
4509,流萤,7
4510,自私,6
4511,想法,9
4512,写成,4
4513,五毛,1
4514,Biu,1
4515,午安曲库君,1
4516,悠扬,1
4517,动听,2
4518,古风曲遇萤拂袖唤漫天流萤掌心微光,1
4519,眼中,11
4520,帮助,3
4521,舒缓,1
4522,适当,1
4523,午休,2
4524,调整,2
4525,有利于,1
4526,投入,3
4527,3曲,1
4528,库君,1
4529,古风小公举4不4吐舌PS,1
4530,留言,9
4531,党派,1
4532,糖,7
4533,活着,13
4534,万水千山,2
4535,一起去,8
4536,ACG,1
4537,榜,3
4538,很开心,8
4539,狐妖,1
4540,做到,9
4541,展开,2
4542,篇,1
4543,光荣,1
4544,交棒,1
4545,梦回,3
4546,仍然,9
4547,剧中,3
4548,插曲,5
4549,再次,19
4550,噢,7
4551,第21集,1
4552,王权,1
4553,清瞳,1
4554,基本,5
4555,等同,1
4556,于梦回还,1
4557,满屏,1
4558,滚动,4
4559,弹幕,1
4560,走出去,1
4561,一起来,4
4562,21集,1
4563,十几遍,1
4564,吧王,1
4565,权富贵,1
4566,几十张,1
4567,图,9
4568,不好看,1
4569,半句,2
4570,后半句,1
4571,说错,2
4572,咯,4
4573,妖术,1
4574,道法,1
4575,笑话,6
4576,流行,16
4577,发觉,5
4578,花哨,2
4579,20岁,7
4580,吴倩莲,2
4581,婚纱,2
4582,脚,6
4583,摩托,3
4584,鼻血,1
4585,三毛,4
4586,仔细看,3
4587,三毛平生,1
4588,词人,5
4589,凤飞飞,1
4590,禁,8
4591,1991年,2
4592,孟飞,1
4593,雪山,1
4594,飞狐,1
4595,片头曲,3
4596,雪中情,1
4597,白雪皑皑,1
4598,胡一刀,1
4599,白帽,1
4600,踏着,1
4601,白雪,2
4602,场景,8
4603,飞逝,3
4604,感伤,5
4605,奢望,2
4606,蒙古族,1
4607,蒙语真的好感动想家,1
4608,南,2
4609,有仙地名曰,1
4610,摩梭摩梭,1
4611,湖,1
4612,泸沽,2
4613,奇异,1
4614,来到,16
4615,古镇,1
4616,丽江,7
4617,寻梦,1
4618,梦中,3
4619,似曾相识,1
4620,寻,6
4621,梦中人,1
4622,怅然若失,1
4623,篝火,2
4624,曼舞欢歌,1
4625,呐喊,5
4626,将要,2
4627,惊心动魄,1
4628,原是,1
4629,烟水,1
4630,意料,2
4631,意料之外,2
4632,邂逅,2
4633,洒脱,12
4634,湖边佳人曼舞欢歌我心如草,1
4635,腐朽,1
4636,萤,1
4637,云南,5
4638,泸沽湖畔,1
4639,摩梭族,1
4640,保持,10
4641,自由恋爱,1
4642,女子,8
4643,家中,2
4644,留宿,1
4645,天明,1
4646,十月,1
4647,怀胎,1
4648,冠母,1
4649,大意,4
4650,双笙,2
4651,温莨,1
4652,点点,1
4653,妇人,2
4654,独守,1
4655,空房,1
4656,闲,2
4657,敲,7
4658,棋子,1
4659,不可,11
4660,抑制,2
4661,越过,4
4662,边疆,3
4663,高潮,12
4664,声声,1
4665,鼓鸣,1
4666,妇人夜,1
4667,回廊,2
4668,忧思,1
4669,踌躇,2
4670,心情莫名,1
4671,沉重夜敲棋子望西树梢,1
4672,上月,1
4673,塞外,1
4674,明亮,1
4675,忽,3
4676,高台,1
4677,远方,11
4678,良马归来尘土飞扬,1
4679,笙妹,1
4680,凉,6
4681,视角,3
4682,将军,8
4683,亡魂,1
4684,古风歌歌名月出出自诗经,1
4685,陈风,1
4686,上部,1
4687,将军战死沙场亡魂归来得见朝思暮想,1
4688,佳人,3
4689,阴阳,2
4690,永隔,1
4691,不忍,2
4692,思量,1
4693,下部,1
4694,描写,4
4695,孓,1
4696,月下思君此时将军亡魂吟咏起陟彼高冈我马玄黄诗经卷耳,1
4697,推向,2
4698,看我,13
4699,妹妹,16
4700,思考,4
4701,月出皎兮佼人僚兮舒窈纠兮劳心悄兮月出皓兮佼人懰兮舒忧受兮劳心慅兮月出照兮佼人燎兮舒夭绍兮劳心惨兮,1
4702,小可爱,4
4703,哲学,2
4704,桥豆,2
4705,麻袋,2
4706,日语,1
4707,看一下,1
4708,老公,14
4709,摔倒,1
4710,抱抱,4
4711,站起来,4
4712,没得,4
4713,范昊洋,1
4714,淹没,4
4715,90年,2
4716,飘过,2
4717,好处,2
4718,星期五,1
4719,雨,17
4720,想来,5
4721,无事,1
4722,伞,10
4723,小黄伞,1
4724,老爸老妈,1
4725,浪漫史,1
4726,黄伞,1
4727,场,5
4728,38路,1
4729,碟,1
4730,890年代,1
4731,beyond,4
4732,蔡琴,5
4733,林忆莲,3
4734,放到,6
4735,太平洋,3
4736,终点站,2
4737,公交车,8
4738,雨中,3
4739,开往,3
4740,另一个年代,1
4741,86,1
4742,初一,8
4743,磁带,11
4744,表示,7
4745,九六年,1
4746,来我等,1
4747,一生一世,4
4748,大梦,2
4749,天下风云出我辈一入江湖岁月催皇图霸业谈笑间不胜人生一场醉,1
4750,演唱者,3
4751,加班,5
4752,过程,6
4753,一杯,11
4754,绿茶,1
4755,武侠类,1
4756,鸡血,1
4757,沧桑,4
4758,江山不爱爱美人人生路岁月愁风花雪月在人间,1
4759,台湾,13
4760,九二一大,1
4761,地震,5
4762,赈灾,1
4763,众志成城万众一心,1
4764,多难,1
4765,兴邦,1
4766,劫后余生,1
4767,教,11
4768,珍惜,37
4769,担心,8
4770,尽量,1
4771,诀别,2
4772,悔恨,1
4773,莫文蔚,12
4774,杨千嬅,2
4775,阿妹,8
4776,唱功,18
4777,天衣无缝,1
4778,最合适,2
4779,字正腔圆,1
4780,chen,1
4781,埃,1
4782,忽然之间,2
4783,921,1
4784,大地震,2
4785,邀,1
4786,李焯雄,1
4787,周耀辉,1
4788,填词,4
4789,能够,26
4790,受灾者,1
4791,心境,3
4792,依旧经典,1
4793,圈,17
4794,悲哀,4
4795,电台,8
4796,记错,2
4797,FM,2
4798,1068,1
4799,一期,2
4800,经意,3
4801,听见,9
4802,上高中,1
4803,大三了爱心,1
4804,下雪,6
4805,独自一人,3
4806,乌鲁木齐,1
4807,街道,4
4808,夜色,5
4809,隔山海山海,1
4810,可平,1
4811,小宇,3
4812,声泪俱下,1
4813,不温不火,2
4814,真真,2
4815,切切,1
4816,剔除,3
4817,手掌,1
4818,一根,10
4819,刺,4
4820,张震岳,3
4821,张宇,10
4822,另一版,1
4823,画心,1
4824,前奏版,1
4825,一版,2
4826,却说,4
4827,败笔,1
4828,得不到,10
4829,骚动,2
4830,敝履,1
4831,灵魂,11
4832,胆子,1
4833,有多小才会,1
4834,拉拉拉拉,1
4835,拉拉会,1
4836,恐怖汗,1
4837,画皮难画心看人难知人,1
4838,周迅,1
4839,演技,8
4840,生病,12
4841,灵气,1
4842,小狐狸,1
4843,爸爸,37
4844,老花眼镜,1
4845,翻开,1
4846,泛,3
4847,黄,3
4848,指,8
4849,厨房,5
4850,忙碌,3
4851,刚好,15
4852,失恋,17
4853,通宵,8
4854,呼叫,1
4855,转移,1
4856,片尾,3
4857,大男生,1
4858,一塌糊涂,5
4859,7年,6
4860,错过了,7
4861,荡气回肠,1
4862,每个人都会,1
4863,伪装,1
4864,患,5
4865,忧郁症,3
4866,动,14
4867,该怎样,1
4868,无力,2
4869,诉说,7
4870,死角,1
4871,闯,2
4872,流浪,11
4873,几张,2
4874,双人床,2
4875,义无反顾,5
4876,交换,3
4877,多么现实,1
4878,恍然,2
4879,抬起头,3
4880,桌,8
4881,笔记,1
4882,初春,1
4883,晒,3
4884,察觉,3
4885,回过头,1
4886,赶忙,2
4887,怦怦,2
4888,停,21
4889,往复,1
4890,一听,15
4891,享受,8
4892,这感觉,1
4893,六年级,6
4894,鬼脸,7
4895,两张,4
4896,现,3
4897,收费,4
4898,早上,9
4899,洗漱,3
4900,男友,7
4901,紧紧,6
4902,抱住,2
4903,耳边,6
4904,轻声,4
4905,爱紧接着,1
4906,又说,3
4907,这话,2
4908,剃须刀,2
4909,顺势,1
4910,滑落,3
4911,OneDay,1
4912,安妮海瑟薇,1
4913,无法控制,2
4914,难以,9
4915,刮,12
4916,奖,5
4917,谢字,5
4918,非,18
4919,惠顾,4
4920,干净净,4
4921,一模一样,5
4922,相比,4
4923,煎熬,9
4924,抽离,2
4925,介意,2
4926,刻,5
4927,原谅,11
4928,仗剑,2
4929,静默,2
4930,山水,5
4931,吵,8
4932,出世,1
4933,入世,1
4934,便是,10
4935,境界,6
4936,一念,1
4937,净心,1
4938,空谷幽兰寂静光明,1
4939,电子,4
4940,佛教,1
4941,意境,6
4942,融合,4
4943,成都站,1
4944,加上,5
4945,光影,2
4946,五星的歌不多,1
4947,牛逼,20
4948,还没有,14
4949,转念,2
4950,郑钧如,1
4951,金锋芒,1
4952,耀眼,1
4953,流星,1
4954,木,4
4955,脆弱,9
4956,草木,1
4957,水,21
4958,温婉,3
4959,透亮,1
4960,清泉,1
4961,汪峰,4
4962,炽烈,1
4963,赤炎,1
4964,土坚,1
4965,实厚,1
4966,重如,1
4967,浪,7
4968,發現,2
4969,紀,1
4970,看多可惜,1
4971,难免,2
4972,熟悉,17
4973,陌生人,6
4974,最美好,1
4975,最高,7
4976,离婚里亚以子奶奶,1
4977,最先,1
4978,心爱,2
4979,消耗,1
4980,猝不及防,1
4981,蓄谋,2
4982,离散,1
4983,运气,5
4984,奢侈,1
4985,剩下,20
4986,四目相对,1
4987,不爱了连,1
4988,负荷,1
4989,纠缠,6
4990,没法,14
4991,自主,2
4992,控制,6
4993,可能会,10
4994,咖啡馆,2
4995,洗澡,9
4996,放歌,2
4997,那场,2
4998,无果,2
4999,炽热,3
5000,耿耿于怀,2
5001,十六岁,2
5002,好心,2
5003,酸大笑,1
5004,模,1
5005,一大截,1
5006,含泪,2
5007,搜来,2
5008,加心,1
5009,感叹,3
5010,懵逼,1
5011,感觉到,7
5012,小星星,1
5013,几分钟,1
5014,前27号,1
5015,健忘,1
5016,初三,15
5017,突然好,1
5018,签约,1
5019,曾轶,1
5020,曾轶可,5
5021,曾哥,2
5022,忽略,3
5023,牛,4
5024,高晓松,3
5025,4个月,1
5026,刚刚,17
5027,老爷们,6
5028,很好听,17
5029,嘲笑,8
5030,第一名,3
5031,第九名,1
5032,幽灵,7
5033,7年前,1
5034,讽刺,6
5035,林志玲,1
5036,言辞,2
5037,花瓶,1
5038,公主病,1
5039,星辰,3
5040,夺目,1
5041,绚烂,3
5042,安稳,2
5043,短发,12
5044,性感,3
5045,上去,8
5046,冲动,9
5047,安妮,3
5048,王杰,6
5049,主角,11
5050,就叫作,1
5051,美法,1
5052,混血儿,1
5053,舞会,1
5054,相识,5
5055,纯纯,2
5056,车祸,6
5057,意外,6
5058,身亡,1
5059,纪念,5
5060,采用,3
5061,四个人,1
5062,第一个,11
5063,第三个,2
5064,第四个,1
5065,共度,2
5066,人生活,1
5067,最爱开玩笑,1
5068,偏偏,4
5069,遗忘,3
5070,不敢听,4
5071,杰哥,4
5072,遭遇,1
5073,只因,3
5074,不肯,8
5075,同流合污,1
5076,事实,5
5077,忌妒,1
5078,包装,6
5079,走红,1
5080,下毒,1
5081,百度,5
5082,鼓励,11
5083,剑姬,1
5084,劳伦特,2
5085,家族,3
5086,后辈,1
5087,菲奥娜,2
5088,命中,3
5089,伟人,1
5090,主宰,1
5091,德玛西亚,1
5092,上流,1
5093,决斗,1
5094,长达,2
5095,数个,1
5096,世纪,1
5097,看成,2
5098,德邦,1
5099,有史以来,1
5100,剑士,1
5101,定位,3
5102,战士,2
5103,刺客,1
5104,单挑,1
5105,极,6
5106,局面,1
5107,偷,7
5108,塔,5
5109,分带,1
5110,表,6
5111,谢,4
5112,睡觉,24
5113,强行,3
5114,睁开,2
5115,忍着,3
5116,屏幕,9
5117,颤抖,5
5118,红心,4
5119,首都,4
5120,妹,3
5121,生气,13
5122,第二天早上,2
5123,嗨,6
5124,蛋炒饭,1
5125,蛋,3
5126,加点,1
5127,蒜,1
5128,放饭,1
5129,搅拌,1
5130,铲饭,1
5131,写好,4
5132,喜剧,2
5133,谦谦,1
5134,舍不得,14
5135,不要说,4
5136,聊天,26
5137,记录,8
5138,156MB,1
5139,今晚,21
5140,项,2
5141,工程,1
5142,烦,7
5143,门,10
5144,窄,2
5145,那路,1
5146,鸡毛,2
5147,狗血,1
5148,拂,5
5149,回避,1
5150,残酷,8
5151,轻取,1
5152,说谎,3
5153,鸣谢,1
5154,参与,2
5155,笑纳,1
5156,邀请,4
5157,宥嘉,1
5158,随性,3
5159,林宥嘉,8
5160,班主任,9
5161,抄,15
5162,五年级,4
5163,实习,10
5164,文艺,9
5165,元旦,6
5166,晚会,6
5167,犹新,1
5168,负责,8
5169,班,33
5170,想你,20
5171,彭老师,1
5172,过来看评论的路过呆,1
5173,求佛,5
5174,不怕该死,5
5175,大城小爱两只蝴蝶双截棍栀子花开寂寞沙洲冷挪威的森林冲动的惩罚回来我的爱老鼠爱大米快乐崇拜不得不爱简单爱青花瓷在他乡一生有你当你孤单你会想起谁童话爱情三十六计,2
5176,动态,5
5177,诈个尸,1
5178,走下去,6
5179,9月,2
5180,行囊,2
5181,旅途,3
5182,朝思暮想,1
5183,分隔,1
5184,两地,1
5185,军训,5
5186,很苦,1
5187,干燥,1
5188,训练,3
5189,头顶,1
5190,俯视,2
5191,皮肤,1
5192,侵蚀,2
5193,清唱,3
5194,苍老,1
5195,著作,1
5196,财产,1
5197,保护期,1
5198,逝世,2
5199,五十年,1
5200,邓丽君,12
5201,demo,1
5202,九泉,1
5203,奸笑奸笑,4
5204,词圣,1
5205,李白,6
5206,讨论,4
5207,代表性,1
5208,人物,8
5209,鉴赏,2
5210,诗,15
5211,几千年,1
5212,怀疑,8
5213,仙,2
5214,曲子,9
5215,李杜文章千秋默,1
5216,撫,1
5217,絲,1
5218,弦,5
5219,气声,4
5220,2001年,1
5221,16岁,7
5222,法国,4
5223,Teresa,2
5224,全家,1
5225,珍藏,3
5226,红极一时,2
5227,512,2
5228,断电,1
5229,断,7
5230,水隔壁,1
5231,帐篷,1
5232,邻居,4
5233,大爷,5
5234,录音机,3
5235,夜里,9
5236,甜蜜蜜,1
5237,神烦,1
5238,房子,17
5239,预制板,1
5240,砸,6
5241,最爱听,1
5242,张学友,13
5243,换气,2
5244,国语,4
5245,异常,2
5246,标准,6
5247,讲话,1
5248,腔,1
5249,强势,1
5250,甜蜜蜜呆,1
5251,男声,9
